date,menu_item,quantity
2025-01-19,Chicken Roast,2
2025-01-19,Cortado,101
2025-01-19,Estrella Damm (Caña),96
2025-01-19,Gambas al Ajillo,20
2025-01-19,Glass of Rioja,103
2025-01-19,Grilled Steak,1
2025-01-19,Menu del Dia,28
2025-01-19,Patatas Bravas,18
2025-01-19,Sangria Jug,100
2025-01-19,Seafood Paella,390
2025-01-19,Tortilla Espanola,16
2025-01-20,Chicken Roast,1
2025-01-20,Cortado,114
2025-01-20,Estrella Damm (Caña),115
2025-01-20,Gambas al Ajillo,13
2025-01-20,Glass of Rioja,109
2025-01-20,Grilled Steak,3
2025-01-20,Menu del Dia,23
2025-01-20,Patatas Bravas,15
2025-01-20,Sangria Jug,104
2025-01-20,Seafood Paella,369
2025-01-20,Tortilla Espanola,12
2025-01-21,Chicken Roast,4
2025-01-21,Cortado,75
2025-01-21,Estrella Damm (Caña),101
2025-01-21,Gambas al Ajillo,17
2025-01-21,Glass of Rioja,82
2025-01-21,Menu del Dia,17
2025-01-21,Patatas Bravas,16
2025-01-21,Sangria Jug,91
2025-01-21,Seafood Paella,335
2025-01-21,Tortilla Espanola,12
2025-01-22,Chicken Roast,5
2025-01-22,Cortado,92
2025-01-22,Estrella Damm (Caña),78
2025-01-22,Gambas al Ajillo,24
2025-01-22,Glass of Rioja,109
2025-01-22,Grilled Steak,3
2025-01-22,Menu del Dia,16
2025-01-22,Patatas Bravas,28
2025-01-22,Sangria Jug,105
2025-01-22,Seafood Paella,425
2025-01-22,Tortilla Espanola,19
2025-01-23,Chicken Roast,1
2025-01-23,Cortado,78
2025-01-23,Estrella Damm (Caña),68
2025-01-23,Gambas al Ajillo,9
2025-01-23,Glass of Rioja,57
2025-01-23,Grilled Steak,3
2025-01-23,Menu del Dia,18
2025-01-23,Patatas Bravas,6
2025-01-23,Sangria Jug,57
2025-01-23,Seafood Paella,268
2025-01-23,Tortilla Espanola,12
2025-01-24,Chicken Roast,4
2025-01-24,Cortado,104
2025-01-24,Estrella Damm (Caña),112
2025-01-24,Gambas al Ajillo,19
2025-01-24,Glass of Rioja,119
2025-01-24,Grilled Steak,2
2025-01-24,Menu del Dia,30
2025-01-24,Patatas Bravas,16
2025-01-24,Sangria Jug,131
2025-01-24,Seafood Paella,430
2025-01-24,Tortilla Espanola,16
2025-01-25,Chicken Roast,1
2025-01-25,Cortado,122
2025-01-25,Estrella Damm (Caña),96
2025-01-25,Gambas al Ajillo,20
2025-01-25,Glass of Rioja,107
2025-01-25,Grilled Steak,3
2025-01-25,Menu del Dia,37
2025-01-25,Patatas Bravas,20
2025-01-25,Sangria Jug,101
2025-01-25,Seafood Paella,386
2025-01-25,Tortilla Espanola,27
2025-01-26,Chicken Roast,3
2025-01-26,Cortado,119
2025-01-26,Estrella Damm (Caña),143
2025-01-26,Gambas al Ajillo,31
2025-01-26,Glass of Rioja,100
2025-01-26,Grilled Steak,3
2025-01-26,Menu del Dia,20
2025-01-26,Patatas Bravas,26
2025-01-26,Sangria Jug,118
2025-01-26,Seafood Paella,484
2025-01-26,Tortilla Espanola,21
2025-01-27,Chicken Roast,2
2025-01-27,Cortado,55
2025-01-27,Estrella Damm (Caña),54
2025-01-27,Gambas al Ajillo,17
2025-01-27,Glass of Rioja,47
2025-01-27,Grilled Steak,4
2025-01-27,Menu del Dia,12
2025-01-27,Patatas Bravas,21
2025-01-27,Sangria Jug,59
2025-01-27,Seafood Paella,224
2025-01-27,Tortilla Espanola,16
2025-01-28,Chicken Roast,2
2025-01-28,Cortado,110
2025-01-28,Estrella Damm (Caña),100
2025-01-28,Gambas al Ajillo,19
2025-01-28,Glass of Rioja,109
2025-01-28,Grilled Steak,2
2025-01-28,Menu del Dia,28
2025-01-28,Patatas Bravas,20
2025-01-28,Sangria Jug,106
2025-01-28,Seafood Paella,420
2025-01-28,Tortilla Espanola,18
2025-01-29,Chicken Roast,5
2025-01-29,Cortado,124
2025-01-29,Estrella Damm (Caña),105
2025-01-29,Gambas al Ajillo,30
2025-01-29,Glass of Rioja,114
2025-01-29,Grilled Steak,2
2025-01-29,Menu del Dia,24
2025-01-29,Patatas Bravas,25
2025-01-29,Sangria Jug,123
2025-01-29,Seafood Paella,424
2025-01-29,Tortilla Espanola,30
2025-01-30,Chicken Roast,2
2025-01-30,Cortado,86
2025-01-30,Estrella Damm (Caña),94
2025-01-30,Gambas al Ajillo,15
2025-01-30,Glass of Rioja,103
2025-01-30,Grilled Steak,2
2025-01-30,Menu del Dia,24
2025-01-30,Patatas Bravas,15
2025-01-30,Sangria Jug,108
2025-01-30,Seafood Paella,396
2025-01-30,Tortilla Espanola,16
2025-01-31,Chicken Roast,1
2025-01-31,Cortado,105
2025-01-31,Estrella Damm (Caña),89
2025-01-31,Gambas al Ajillo,23
2025-01-31,Glass of Rioja,77
2025-01-31,Grilled Steak,4
2025-01-31,Menu del Dia,24
2025-01-31,Patatas Bravas,26
2025-01-31,Sangria Jug,106
2025-01-31,Seafood Paella,365
2025-01-31,Tortilla Espanola,22
2025-02-01,Chicken Roast,6
2025-02-01,Cortado,113
2025-02-01,Estrella Damm (Caña),120
2025-02-01,Gambas al Ajillo,22
2025-02-01,Glass of Rioja,100
2025-02-01,Grilled Steak,3
2025-02-01,Menu del Dia,25
2025-02-01,Patatas Bravas,33
2025-02-01,Sangria Jug,110
2025-02-01,Seafood Paella,448
2025-02-01,Tortilla Espanola,28
2025-02-02,Chicken Roast,4
2025-02-02,Cortado,88
2025-02-02,Estrella Damm (Caña),93
2025-02-02,Gambas al Ajillo,13
2025-02-02,Glass of Rioja,72
2025-02-02,Grilled Steak,4
2025-02-02,Menu del Dia,32
2025-02-02,Patatas Bravas,15
2025-02-02,Sangria Jug,109
2025-02-02,Seafood Paella,362
2025-02-02,Tortilla Espanola,15
2025-02-03,Chicken Roast,3
2025-02-03,Cortado,99
2025-02-03,Estrella Damm (Caña),102
2025-02-03,Gambas al Ajillo,29
2025-02-03,Glass of Rioja,107
2025-02-03,Grilled Steak,1
2025-02-03,Menu del Dia,25
2025-02-03,Patatas Bravas,17
2025-02-03,Sangria Jug,114
2025-02-03,Seafood Paella,401
2025-02-03,Tortilla Espanola,23
2025-02-04,Chicken Roast,2
2025-02-04,Cortado,54
2025-02-04,Estrella Damm (Caña),65
2025-02-04,Gambas al Ajillo,13
2025-02-04,Glass of Rioja,61
2025-02-04,Grilled Steak,2
2025-02-04,Menu del Dia,12
2025-02-04,Patatas Bravas,19
2025-02-04,Sangria Jug,74
2025-02-04,Seafood Paella,226
2025-02-04,Tortilla Espanola,13
2025-02-05,Chicken Roast,3
2025-02-05,Cortado,123
2025-02-05,Estrella Damm (Caña),116
2025-02-05,Gambas al Ajillo,14
2025-02-05,Glass of Rioja,100
2025-02-05,Grilled Steak,5
2025-02-05,Menu del Dia,13
2025-02-05,Patatas Bravas,15
2025-02-05,Sangria Jug,98
2025-02-05,Seafood Paella,371
2025-02-05,Tortilla Espanola,23
2025-02-06,Chicken Roast,1
2025-02-06,Cortado,54
2025-02-06,Estrella Damm (Caña),63
2025-02-06,Gambas al Ajillo,12
2025-02-06,Glass of Rioja,59
2025-02-06,Grilled Steak,2
2025-02-06,Menu del Dia,17
2025-02-06,Patatas Bravas,8
2025-02-06,Sangria Jug,43
2025-02-06,Seafood Paella,224
2025-02-06,Tortilla Espanola,13
2025-02-07,Chicken Roast,4
2025-02-07,Cortado,115
2025-02-07,Estrella Damm (Caña),109
2025-02-07,Gambas al Ajillo,20
2025-02-07,Glass of Rioja,106
2025-02-07,Menu del Dia,26
2025-02-07,Patatas Bravas,19
2025-02-07,Sangria Jug,106
2025-02-07,Seafood Paella,401
2025-02-07,Tortilla Espanola,12
2025-02-08,Chicken Roast,3
2025-02-08,Cortado,112
2025-02-08,Estrella Damm (Caña),138
2025-02-08,Gambas al Ajillo,19
2025-02-08,Glass of Rioja,136
2025-02-08,Grilled Steak,7
2025-02-08,Menu del Dia,23
2025-02-08,Patatas Bravas,16
2025-02-08,Sangria Jug,96
2025-02-08,Seafood Paella,411
2025-02-08,Tortilla Espanola,16
2025-02-09,Chicken Roast,3
2025-02-09,Cortado,95
2025-02-09,Estrella Damm (Caña),85
2025-02-09,Gambas al Ajillo,25
2025-02-09,Glass of Rioja,98
2025-02-09,Grilled Steak,2
2025-02-09,Menu del Dia,26
2025-02-09,Patatas Bravas,14
2025-02-09,Sangria Jug,103
2025-02-09,Seafood Paella,382
2025-02-09,Tortilla Espanola,19
2025-02-10,Chicken Roast,2
2025-02-10,Cortado,98
2025-02-10,Estrella Damm (Caña),95
2025-02-10,Gambas al Ajillo,16
2025-02-10,Glass of Rioja,85
2025-02-10,Grilled Steak,4
2025-02-10,Menu del Dia,30
2025-02-10,Patatas Bravas,18
2025-02-10,Sangria Jug,101
2025-02-10,Seafood Paella,412
2025-02-10,Tortilla Espanola,15
2025-02-11,Chicken Roast,1
2025-02-11,Cortado,68
2025-02-11,Estrella Damm (Caña),62
2025-02-11,Gambas al Ajillo,13
2025-02-11,Glass of Rioja,54
2025-02-11,Grilled Steak,1
2025-02-11,Menu del Dia,14
2025-02-11,Patatas Bravas,20
2025-02-11,Sangria Jug,67
2025-02-11,Seafood Paella,235
2025-02-11,Tortilla Espanola,20
2025-02-12,Chicken Roast,1
2025-02-12,Cortado,106
2025-02-12,Estrella Damm (Caña),106
2025-02-12,Gambas al Ajillo,14
2025-02-12,Glass of Rioja,120
2025-02-12,Grilled Steak,4
2025-02-12,Menu del Dia,34
2025-02-12,Patatas Bravas,9
2025-02-12,Sangria Jug,101
2025-02-12,Seafood Paella,441
2025-02-12,Tortilla Espanola,16
2025-02-13,Chicken Roast,5
2025-02-13,Cortado,95
2025-02-13,Estrella Damm (Caña),113
2025-02-13,Gambas al Ajillo,22
2025-02-13,Glass of Rioja,124
2025-02-13,Grilled Steak,2
2025-02-13,Menu del Dia,19
2025-02-13,Patatas Bravas,32
2025-02-13,Sangria Jug,105
2025-02-13,Seafood Paella,385
2025-02-13,Tortilla Espanola,30
2025-02-14,Chicken Roast,1
2025-02-14,Cortado,135
2025-02-14,Estrella Damm (Caña),107
2025-02-14,Gambas al Ajillo,38
2025-02-14,Glass of Rioja,119
2025-02-14,Grilled Steak,8
2025-02-14,Menu del Dia,33
2025-02-14,Patatas Bravas,29
2025-02-14,Sangria Jug,114
2025-02-14,Seafood Paella,412
2025-02-14,Tortilla Espanola,18
2025-02-15,Chicken Roast,2
2025-02-15,Cortado,60
2025-02-15,Estrella Damm (Caña),51
2025-02-15,Gambas al Ajillo,12
2025-02-15,Glass of Rioja,63
2025-02-15,Menu del Dia,9
2025-02-15,Patatas Bravas,12
2025-02-15,Sangria Jug,47
2025-02-15,Seafood Paella,239
2025-02-15,Tortilla Espanola,11
2025-02-16,Chicken Roast,2
2025-02-16,Cortado,89
2025-02-16,Estrella Damm (Caña),127
2025-02-16,Gambas al Ajillo,27
2025-02-16,Glass of Rioja,106
2025-02-16,Grilled Steak,6
2025-02-16,Menu del Dia,22
2025-02-16,Patatas Bravas,28
2025-02-16,Sangria Jug,121
2025-02-16,Seafood Paella,410
2025-02-16,Tortilla Espanola,25
2025-02-17,Chicken Roast,5
2025-02-17,Cortado,107
2025-02-17,Estrella Damm (Caña),124
2025-02-17,Gambas al Ajillo,13
2025-02-17,Glass of Rioja,109
2025-02-17,Grilled Steak,2
2025-02-17,Menu del Dia,21
2025-02-17,Patatas Bravas,14
2025-02-17,Sangria Jug,100
2025-02-17,Seafood Paella,423
2025-02-17,Tortilla Espanola,13
2025-02-18,Chicken Roast,3
2025-02-18,Cortado,65
2025-02-18,Estrella Damm (Caña),56
2025-02-18,Gambas al Ajillo,13
2025-02-18,Glass of Rioja,65
2025-02-18,Grilled Steak,1
2025-02-18,Menu del Dia,16
2025-02-18,Patatas Bravas,16
2025-02-18,Sangria Jug,54
2025-02-18,Seafood Paella,216
2025-02-18,Tortilla Espanola,8
2025-02-19,Cortado,94
2025-02-19,Estrella Damm (Caña),89
2025-02-19,Gambas al Ajillo,19
2025-02-19,Glass of Rioja,99
2025-02-19,Grilled Steak,1
2025-02-19,Menu del Dia,20
2025-02-19,Patatas Bravas,18
2025-02-19,Sangria Jug,94
2025-02-19,Seafood Paella,342
2025-02-19,Tortilla Espanola,11
2025-02-20,Chicken Roast,2
2025-02-20,Cortado,63
2025-02-20,Estrella Damm (Caña),65
2025-02-20,Gambas al Ajillo,13
2025-02-20,Glass of Rioja,67
2025-02-20,Menu del Dia,11
2025-02-20,Patatas Bravas,7
2025-02-20,Sangria Jug,61
2025-02-20,Seafood Paella,283
2025-02-20,Tortilla Espanola,11
2025-02-21,Chicken Roast,4
2025-02-21,Cortado,102
2025-02-21,Estrella Damm (Caña),138
2025-02-21,Gambas al Ajillo,20
2025-02-21,Glass of Rioja,125
2025-02-21,Grilled Steak,4
2025-02-21,Menu del Dia,16
2025-02-21,Patatas Bravas,21
2025-02-21,Sangria Jug,93
2025-02-21,Seafood Paella,385
2025-02-21,Tortilla Espanola,28
2025-02-22,Chicken Roast,2
2025-02-22,Cortado,104
2025-02-22,Estrella Damm (Caña),98
2025-02-22,Gambas al Ajillo,21
2025-02-22,Glass of Rioja,123
2025-02-22,Grilled Steak,2
2025-02-22,Menu del Dia,18
2025-02-22,Patatas Bravas,17
2025-02-22,Sangria Jug,93
2025-02-22,Seafood Paella,405
2025-02-22,Tortilla Espanola,19
2025-02-23,Cortado,102
2025-02-23,Estrella Damm (Caña),91
2025-02-23,Gambas al Ajillo,13
2025-02-23,Glass of Rioja,98
2025-02-23,Grilled Steak,2
2025-02-23,Menu del Dia,23
2025-02-23,Patatas Bravas,20
2025-02-23,Sangria Jug,108
2025-02-23,Seafood Paella,389
2025-02-23,Tortilla Espanola,18
2025-02-24,Chicken Roast,4
2025-02-24,Cortado,110
2025-02-24,Estrella Damm (Caña),90
2025-02-24,Gambas al Ajillo,21
2025-02-24,Glass of Rioja,94
2025-02-24,Grilled Steak,3
2025-02-24,Menu del Dia,27
2025-02-24,Patatas Bravas,12
2025-02-24,Sangria Jug,92
2025-02-24,Seafood Paella,403
2025-02-24,Tortilla Espanola,12
2025-02-25,Chicken Roast,3
2025-02-25,Cortado,95
2025-02-25,Estrella Damm (Caña),104
2025-02-25,Gambas al Ajillo,18
2025-02-25,Glass of Rioja,106
2025-02-25,Menu del Dia,20
2025-02-25,Patatas Bravas,20
2025-02-25,Sangria Jug,126
2025-02-25,Seafood Paella,418
2025-02-25,Tortilla Espanola,25
2025-02-26,Chicken Roast,5
2025-02-26,Cortado,88
2025-02-26,Estrella Damm (Caña),82
2025-02-26,Gambas al Ajillo,15
2025-02-26,Glass of Rioja,98
2025-02-26,Grilled Steak,2
2025-02-26,Menu del Dia,24
2025-02-26,Patatas Bravas,24
2025-02-26,Sangria Jug,83
2025-02-26,Seafood Paella,344
2025-02-26,Tortilla Espanola,15
2025-02-27,Chicken Roast,2
2025-02-27,Cortado,109
2025-02-27,Estrella Damm (Caña),105
2025-02-27,Gambas al Ajillo,16
2025-02-27,Glass of Rioja,129
2025-02-27,Grilled Steak,2
2025-02-27,Menu del Dia,30
2025-02-27,Patatas Bravas,16
2025-02-27,Sangria Jug,128
2025-02-27,Seafood Paella,420
2025-02-27,Tortilla Espanola,15
2025-02-28,Chicken Roast,3
2025-02-28,Cortado,122
2025-02-28,Estrella Damm (Caña),121
2025-02-28,Gambas al Ajillo,29
2025-02-28,Glass of Rioja,91
2025-02-28,Grilled Steak,1
2025-02-28,Menu del Dia,25
2025-02-28,Patatas Bravas,29
2025-02-28,Sangria Jug,110
2025-02-28,Seafood Paella,459
2025-02-28,Tortilla Espanola,32
2025-03-01,Chicken Roast,2
2025-03-01,Cortado,83
2025-03-01,Estrella Damm (Caña),77
2025-03-01,Gambas al Ajillo,26
2025-03-01,Glass of Rioja,112
2025-03-01,Grilled Steak,1
2025-03-01,Menu del Dia,24
2025-03-01,Patatas Bravas,18
2025-03-01,Sangria Jug,102
2025-03-01,Seafood Paella,355
2025-03-01,Tortilla Espanola,18
2025-03-02,Chicken Roast,1
2025-03-02,Cortado,57
2025-03-02,Estrella Damm (Caña),50
2025-03-02,Gambas al Ajillo,8
2025-03-02,Glass of Rioja,65
2025-03-02,Grilled Steak,3
2025-03-02,Menu del Dia,9
2025-03-02,Patatas Bravas,15
2025-03-02,Sangria Jug,64
2025-03-02,Seafood Paella,244
2025-03-02,Tortilla Espanola,11
2025-03-03,Chicken Roast,1
2025-03-03,Cortado,89
2025-03-03,Estrella Damm (Caña),80
2025-03-03,Gambas al Ajillo,12
2025-03-03,Glass of Rioja,104
2025-03-03,Grilled Steak,2
2025-03-03,Menu del Dia,14
2025-03-03,Patatas Bravas,17
2025-03-03,Sangria Jug,81
2025-03-03,Seafood Paella,329
2025-03-03,Tortilla Espanola,19
2025-03-04,Chicken Roast,4
2025-03-04,Cortado,115
2025-03-04,Estrella Damm (Caña),117
2025-03-04,Gambas al Ajillo,20
2025-03-04,Glass of Rioja,116
2025-03-04,Grilled Steak,6
2025-03-04,Menu del Dia,31
2025-03-04,Patatas Bravas,23
2025-03-04,Sangria Jug,106
2025-03-04,Seafood Paella,425
2025-03-04,Tortilla Espanola,20
2025-03-05,Chicken Roast,2
2025-03-05,Cortado,99
2025-03-05,Estrella Damm (Caña),117
2025-03-05,Gambas al Ajillo,23
2025-03-05,Glass of Rioja,95
2025-03-05,Grilled Steak,3
2025-03-05,Menu del Dia,23
2025-03-05,Patatas Bravas,25
2025-03-05,Sangria Jug,106
2025-03-05,Seafood Paella,374
2025-03-05,Tortilla Espanola,22
2025-03-06,Chicken Roast,5
2025-03-06,Cortado,109
2025-03-06,Estrella Damm (Caña),106
2025-03-06,Gambas al Ajillo,17
2025-03-06,Glass of Rioja,114
2025-03-06,Grilled Steak,5
2025-03-06,Menu del Dia,24
2025-03-06,Patatas Bravas,15
2025-03-06,Sangria Jug,107
2025-03-06,Seafood Paella,423
2025-03-06,Tortilla Espanola,21
2025-03-07,Chicken Roast,2
2025-03-07,Cortado,92
2025-03-07,Estrella Damm (Caña),84
2025-03-07,Gambas al Ajillo,25
2025-03-07,Glass of Rioja,97
2025-03-07,Grilled Steak,3
2025-03-07,Menu del Dia,23
2025-03-07,Patatas Bravas,14
2025-03-07,Sangria Jug,72
2025-03-07,Seafood Paella,333
2025-03-07,Tortilla Espanola,14
2025-03-08,Cortado,54
2025-03-08,Estrella Damm (Caña),67
2025-03-08,Gambas al Ajillo,6
2025-03-08,Glass of Rioja,65
2025-03-08,Grilled Steak,3
2025-03-08,Menu del Dia,15
2025-03-08,Patatas Bravas,8
2025-03-08,Sangria Jug,53
2025-03-08,Seafood Paella,266
2025-03-08,Tortilla Espanola,14
2025-03-09,Chicken Roast,2
2025-03-09,Cortado,71
2025-03-09,Estrella Damm (Caña),98
2025-03-09,Gambas al Ajillo,18
2025-03-09,Glass of Rioja,83
2025-03-09,Grilled Steak,3
2025-03-09,Menu del Dia,21
2025-03-09,Patatas Bravas,14
2025-03-09,Sangria Jug,93
2025-03-09,Seafood Paella,316
2025-03-09,Tortilla Espanola,14
2025-03-10,Chicken Roast,2
2025-03-10,Cortado,112
2025-03-10,Estrella Damm (Caña),108
2025-03-10,Gambas al Ajillo,18
2025-03-10,Glass of Rioja,91
2025-03-10,Grilled Steak,2
2025-03-10,Menu del Dia,29
2025-03-10,Patatas Bravas,12
2025-03-10,Sangria Jug,102
2025-03-10,Seafood Paella,388
2025-03-10,Tortilla Espanola,28
2025-03-11,Chicken Roast,1
2025-03-11,Cortado,100
2025-03-11,Estrella Damm (Caña),86
2025-03-11,Gambas al Ajillo,14
2025-03-11,Glass of Rioja,89
2025-03-11,Grilled Steak,1
2025-03-11,Menu del Dia,30
2025-03-11,Patatas Bravas,16
2025-03-11,Sangria Jug,91
2025-03-11,Seafood Paella,391
2025-03-11,Tortilla Espanola,13
2025-03-12,Chicken Roast,2
2025-03-12,Cortado,87
2025-03-12,Estrella Damm (Caña),88
2025-03-12,Gambas al Ajillo,15
2025-03-12,Glass of Rioja,92
2025-03-12,Grilled Steak,1
2025-03-12,Menu del Dia,19
2025-03-12,Patatas Bravas,11
2025-03-12,Sangria Jug,84
2025-03-12,Seafood Paella,378
2025-03-12,Tortilla Espanola,18
2025-03-13,Chicken Roast,1
2025-03-13,Cortado,51
2025-03-13,Estrella Damm (Caña),56
2025-03-13,Gambas al Ajillo,15
2025-03-13,Glass of Rioja,51
2025-03-13,Grilled Steak,1
2025-03-13,Menu del Dia,10
2025-03-13,Patatas Bravas,11
2025-03-13,Sangria Jug,54
2025-03-13,Seafood Paella,222
2025-03-13,Tortilla Espanola,11
2025-03-14,Chicken Roast,4
2025-03-14,Cortado,133
2025-03-14,Estrella Damm (Caña),97
2025-03-14,Gambas al Ajillo,9
2025-03-14,Glass of Rioja,109
2025-03-14,Grilled Steak,5
2025-03-14,Menu del Dia,33
2025-03-14,Patatas Bravas,24
