date,ingredient,quantity_used
2025-01-15,Beef Steak,0.9
2025-01-15,Eggs,54.0
2025-01-15,Onions,1.8
2025-01-16,Beer Keg (30L),36.6
2025-01-16,Wine Bottle (Red),12.75
2025-01-16,Rice (Bomba),53.025
2025-01-16,Seafood Mix,90.5
2025-01-16,Olive Oil,20.65
2025-01-16,Sangria Mix,92.0
2025-01-16,Coffee Beans,1.4998
2025-01-16,Chicken,6.363
2025-01-16,Potatoes,12.322
2025-01-16,Lettuce,2.1
2025-01-16,Eggs,63.0
2025-01-16,Onions,2.1
2025-01-16,Beef Steak,0.3
2025-01-17,Rice (Bomba),58.3275
2025-01-17,Seafood Mix,100.05
2025-01-17,Olive Oil,22.75
2025-01-17,Chicken,6.565
2025-01-17,Potatoes,13.534
2025-01-17,Lettuce,1.9
2025-01-17,Beer Keg (30L),35.7
2025-01-17,Wine Bottle (Red),13.35
2025-01-17,Sangria Mix,101.0
2025-01-17,Coffee Beans,1.3635
2025-01-17,Eggs,42.0
2025-01-17,Onions,1.4
2025-01-17,Beef Steak,1.5
2025-01-18,Beer Keg (30L),35.1
2025-01-18,Rice (Bomba),53.1765
2025-01-18,Seafood Mix,92.15
2025-01-18,Olive Oil,21.4
2025-01-18,Wine Bottle (Red),15.0
2025-01-18,Coffee Beans,1.4544
2025-01-18,Sangria Mix,78.0
2025-01-18,Chicken,5.858
2025-01-18,Potatoes,12.221
2025-01-18,Lettuce,1.8
2025-01-18,Eggs,60.0
2025-01-18,Onions,2.0
2025-01-18,Beef Steak,0.6
2025-01-19,Rice (Bomba),59.994
2025-01-19,Seafood Mix,103.0
2025-01-19,Olive Oil,23.55
2025-01-19,Wine Bottle (Red),16.05
2025-01-19,Coffee Beans,1.5301
2025-01-19,Beer Keg (30L),37.8
2025-01-19,Sangria Mix,101.0
2025-01-19,Chicken,9.595
2025-01-19,Potatoes,15.352
2025-01-19,Lettuce,2.9
2025-01-19,Eggs,51.0
2025-01-19,Onions,1.7
2025-01-19,Beef Steak,0.3
2025-01-20,Wine Bottle (Red),16.65
2025-01-20,Rice (Bomba),56.5095
2025-01-20,Seafood Mix,95.85
2025-01-20,Olive Oil,21.3
2025-01-20,Sangria Mix,107.0
2025-01-20,Coffee Beans,1.7725
2025-01-20,Beer Keg (30L),43.2
2025-01-20,Chicken,7.676
2025-01-20,Potatoes,12.625
2025-01-20,Lettuce,2.4
2025-01-20,Eggs,36.0
2025-01-20,Onions,1.2
2025-01-20,Beef Steak,0.9
2025-01-21,Rice (Bomba),52.2675
2025-01-21,Seafood Mix,89.65
2025-01-21,Olive Oil,20.45
2025-01-21,Coffee Beans,1.1665
2025-01-21,Beer Keg (30L),35.7
2025-01-21,Wine Bottle (Red),13.2
2025-01-21,Sangria Mix,92.0
2025-01-21,Chicken,6.767
2025-01-21,Potatoes,12.12
2025-01-21,Lettuce,1.7
2025-01-21,Eggs,36.0
2025-01-21,Onions,1.2
2025-01-22,Sangria Mix,108.0
2025-01-22,Coffee Beans,1.4089
2025-01-22,Rice (Bomba),64.842
2025-01-22,Seafood Mix,111.8
2025-01-22,Olive Oil,26.25
2025-01-22,Wine Bottle (Red),16.65
2025-01-22,Beer Keg (30L),28.2
2025-01-22,Chicken,6.868
2025-01-22,Potatoes,17.776
2025-01-22,Lettuce,1.6
2025-01-22,Eggs,57.0
2025-01-22,Onions,1.9
2025-01-22,Beef Steak,0.9
2025-01-23,Rice (Bomba),41.208
2025-01-23,Seafood Mix,69.8
2025-01-23,Olive Oil,15.4
2025-01-23,Wine Bottle (Red),8.7
2025-01-23,Coffee Beans,1.212
2025-01-23,Beer Keg (30L),26.7
2025-01-23,Sangria Mix,57.0
2025-01-23,Chicken,6.464
2025-01-23,Potatoes,9.09
2025-01-23,Lettuce,2.0
2025-01-23,Eggs,36.0
2025-01-23,Onions,1.2
2025-01-23,Beef Steak,0.9
2025-01-24,Wine Bottle (Red),18.15
2025-01-24,Rice (Bomba),66.357
2025-01-24,Seafood Mix,113.3
2025-01-24,Olive Oil,25.45
2025-01-24,Sangria Mix,133.0
2025-01-24,Coffee Beans,1.5756
2025-01-24,Beer Keg (30L),43.5
2025-01-24,Chicken,10.706
2025-01-24,Potatoes,15.554
2025-01-24,Lettuce,3.0
2025-01-24,Eggs,51.0
2025-01-24,Onions,1.7
2025-01-24,Beef Steak,0.6
2025-01-25,Beer Keg (30L),41.1
2025-01-25,Sangria Mix,104.0
2025-01-25,Rice (Bomba),59.2365
2025-01-25,Seafood Mix,101.95
2025-01-25,Olive Oil,24.0
2025-01-25,Coffee Beans,1.8634
2025-01-25,Wine Bottle (Red),16.05
2025-01-25,Chicken,12.221
2025-01-25,Potatoes,20.2
2025-01-25,Lettuce,3.9
2025-01-25,Eggs,81.0
2025-01-25,Onions,2.7
2025-01-25,Beef Steak,0.9
2025-01-26,Wine Bottle (Red),15.0
2025-01-26,Coffee Beans,1.8331
2025-01-26,Rice (Bomba),74.3865
2025-01-26,Seafood Mix,128.95
2025-01-26,Olive Oil,30.2
2025-01-26,Beer Keg (30L),49.8
2025-01-26,Sangria Mix,118.0
2025-01-26,Chicken,7.272
2025-01-26,Potatoes,18.483
2025-01-26,Lettuce,2.0
2025-01-26,Eggs,66.0
2025-01-26,Onions,2.2
2025-01-26,Beef Steak,0.9
2025-01-27,Rice (Bomba),34.542
2025-01-27,Seafood Mix,60.8
2025-01-27,Olive Oil,15.15
2025-01-27,Coffee Beans,0.8484
2025-01-27,Wine Bottle (Red),7.35
2025-01-27,Sangria Mix,60.0
2025-01-27,Beer Keg (30L),20.1
2025-01-27,Chicken,4.444
2025-01-27,Potatoes,13.231
2025-01-27,Lettuce,1.2
2025-01-27,Eggs,48.0
2025-01-27,Onions,1.6
2025-01-27,Beef Steak,1.2
2025-01-28,Beer Keg (30L),39.9
2025-01-28,Rice (Bomba),64.9935
2025-01-28,Seafood Mix,111.25
2025-01-28,Olive Oil,25.35
2025-01-28,Wine Bottle (Red),16.95
2025-01-28,Coffee Beans,1.6816
2025-01-28,Sangria Mix,108.0
2025-01-28,Chicken,9.898
2025-01-28,Potatoes,16.564
2025-01-28,Lettuce,3.0
2025-01-28,Eggs,54.0
2025-01-28,Onions,1.8
2025-01-28,Beef Steak,0.6
2025-01-29,Rice (Bomba),65.448
2025-01-29,Seafood Mix,114.0
2025-01-29,Olive Oil,27.45
2025-01-29,Coffee Beans,1.924
2025-01-29,Wine Bottle (Red),17.55
2025-01-29,Sangria Mix,125.0
2025-01-29,Beer Keg (30L),40.2
2025-01-29,Chicken,9.292
2025-01-29,Potatoes,20.301
2025-01-29,Lettuce,2.4
2025-01-29,Eggs,96.0
2025-01-29,Onions,3.2
2025-01-29,Beef Steak,0.6
2025-01-30,Rice (Bomba),60.903
2025-01-30,Seafood Mix,103.7
2025-01-30,Olive Oil,23.25
2025-01-30,Beer Keg (30L),36.6
2025-01-30,Wine Bottle (Red),15.75
2025-01-30,Coffee Beans,1.3332
2025-01-30,Sangria Mix,108.0
2025-01-30,Chicken,8.08
2025-01-30,Potatoes,13.433
2025-01-30,Lettuce,2.4
2025-01-30,Eggs,48.0
2025-01-30,Onions,1.6
2025-01-30,Beef Steak,0.6
2025-01-31,Coffee Beans,1.6362
2025-01-31,Sangria Mix,110.0
2025-01-31,Rice (Bomba),56.8125
2025-01-31,Seafood Mix,98.35
2025-01-31,Olive Oil,23.55
2025-01-31,Wine Bottle (Red),12.15
2025-01-31,Beer Keg (30L),34.8
2025-01-31,Chicken,7.979
2025-01-31,Potatoes,18.988
2025-01-31,Lettuce,2.5
2025-01-31,Eggs,66.0
2025-01-31,Onions,2.2
2025-01-31,Beef Steak,1.2
2025-02-01,Rice (Bomba),69.2355
2025-02-01,Seafood Mix,118.65
2025-02-01,Olive Oil,28.2
2025-02-01,Coffee Beans,1.7271
2025-02-01,Wine Bottle (Red),15.45
2025-02-01,Sangria Mix,111.0
2025-02-01,Beer Keg (30L),44.1
2025-02-01,Eggs,84.0
2025-02-01,Potatoes,23.331
2025-02-01,Onions,2.8
2025-02-01,Chicken,9.999
2025-02-01,Lettuce,2.5
2025-02-01,Beef Steak,1.2
2025-02-02,Rice (Bomba),55.9035
2025-02-02,Seafood Mix,94.85
2025-02-02,Olive Oil,21.3
2025-02-02,Beer Keg (30L),37.5
2025-02-02,Coffee Beans,1.3483
2025-02-02,Sangria Mix,112.0
2025-02-02,Wine Bottle (Red),10.8
2025-02-02,Chicken,11.312
2025-02-02,Potatoes,15.958
2025-02-02,Lettuce,3.2
2025-02-02,Eggs,45.0
2025-02-02,Onions,1.5
2025-02-02,Beef Steak,1.2
2025-02-03,Rice (Bomba),61.3575
2025-02-03,Seafood Mix,107.25
2025-02-03,Olive Oil,25.3
2025-02-03,Beer Keg (30L),38.1
2025-02-03,Wine Bottle (Red),16.35
2025-02-03,Coffee Beans,1.4998
2025-02-03,Sangria Mix,115.0
2025-02-03,Chicken,8.787
2025-02-03,Potatoes,15.857
2025-02-03,Lettuce,2.5
2025-02-03,Eggs,72.0
2025-02-03,Onions,2.4
2025-02-03,Beef Steak,0.3
2025-02-04,Rice (Bomba),35.148
2025-02-04,Seafood Mix,60.8
2025-02-04,Olive Oil,14.6
2025-02-04,Beer Keg (30L),23.4
2025-02-04,Coffee Beans,0.8333
2025-02-04,Wine Bottle (Red),9.3
2025-02-04,Sangria Mix,76.0
2025-02-04,Chicken,4.444
2025-02-04,Potatoes,11.615
2025-02-04,Lettuce,1.2
2025-02-04,Eggs,39.0
2025-02-04,Onions,1.3
2025-02-04,Beef Steak,0.6
2025-02-05,Rice (Bomba),57.873
2025-02-05,Seafood Mix,98.5
2025-02-05,Olive Oil,22.5
2025-02-05,Sangria Mix,98.0
2025-02-05,Wine Bottle (Red),15.45
2025-02-05,Coffee Beans,1.9089
2025-02-05,Beer Keg (30L),39.6
2025-02-05,Chicken,5.151
2025-02-05,Potatoes,13.433
2025-02-05,Lettuce,1.3
2025-02-05,Eggs,69.0
2025-02-05,Onions,2.3
2025-02-05,Beef Steak,1.5
2025-02-06,Rice (Bomba),34.845
2025-02-06,Seafood Mix,59.9
2025-02-06,Olive Oil,13.75
2025-02-06,Wine Bottle (Red),9.0
2025-02-06,Beer Keg (30L),24.0
2025-02-06,Coffee Beans,0.8333
2025-02-06,Sangria Mix,43.0
2025-02-06,Chicken,5.555
2025-02-06,Potatoes,9.09
2025-02-06,Lettuce,1.7
2025-02-06,Beef Steak,0.6
2025-02-06,Eggs,39.0
2025-02-06,Onions,1.3
2025-02-07,Rice (Bomba),62.115
2025-02-07,Seafood Mix,106.5
2025-02-07,Olive Oil,24.05
2025-02-07,Wine Bottle (Red),15.9
2025-02-07,Coffee Beans,1.7574
2025-02-07,Beer Keg (30L),40.5
2025-02-07,Sangria Mix,108.0
2025-02-07,Chicken,9.494
2025-02-07,Potatoes,14.241
2025-02-07,Lettuce,2.6
2025-02-07,Eggs,36.0
2025-02-07,Onions,1.2
2025-02-08,Beer Keg (30L),49.2
2025-02-08,Coffee Beans,1.7119
2025-02-08,Wine Bottle (Red),21.0
2025-02-08,Rice (Bomba),63.327
2025-02-08,Seafood Mix,108.5
2025-02-08,Olive Oil,24.5
2025-02-08,Sangria Mix,98.0
2025-02-08,Potatoes,14.948
2025-02-08,Beef Steak,2.1
2025-02-08,Chicken,8.484
2025-02-08,Lettuce,2.4
2025-02-08,Eggs,48.0
2025-02-08,Onions,1.6
2025-02-09,Rice (Bomba),59.2365
2025-02-09,Seafood Mix,103.15
2025-02-09,Olive Oil,23.95
2025-02-09,Beer Keg (30L),33.6
2025-02-09,Sangria Mix,105.0
2025-02-09,Wine Bottle (Red),15.3
2025-02-09,Coffee Beans,1.4544
2025-02-09,Chicken,9.09
2025-02-09,Potatoes,14.544
2025-02-09,Lettuce,2.6
2025-02-09,Eggs,60.0
2025-02-09,Onions,2.0
2025-02-09,Beef Steak,0.6
2025-02-10,Rice (Bomba),63.4785
2025-02-10,Seafood Mix,108.15
2025-02-10,Olive Oil,24.3
2025-02-10,Sangria Mix,101.0
2025-02-10,Wine Bottle (Red),13.05
2025-02-10,Beer Keg (30L),37.5
2025-02-10,Coffee Beans,1.515
2025-02-10,Chicken,9.898
2025-02-10,Potatoes,15.756
2025-02-10,Lettuce,3.0
2025-02-10,Beef Steak,1.2
2025-02-10,Eggs,45.0
2025-02-10,Onions,1.5
2025-02-11,Rice (Bomba),35.9055
2025-02-11,Seafood Mix,61.85
2025-02-11,Olive Oil,15.15
2025-02-11,Wine Bottle (Red),8.25
2025-02-11,Sangria Mix,68.0
2025-02-11,Coffee Beans,1.0302
2025-02-11,Beer Keg (30L),22.8
2025-02-11,Chicken,4.646
2025-02-11,Potatoes,13.332
2025-02-11,Lettuce,1.4
2025-02-11,Eggs,60.0
2025-02-11,Onions,2.0
2025-02-11,Beef Steak,0.3
2025-02-12,Sangria Mix,103.0
2025-02-12,Rice (Bomba),67.569
2025-02-12,Seafood Mix,114.9
2025-02-12,Olive Oil,25.25
2025-02-12,Wine Bottle (Red),18.3
2025-02-12,Coffee Beans,1.6513
2025-02-12,Beer Keg (30L),42.6
2025-02-12,Chicken,10.706
2025-02-12,Potatoes,13.837
2025-02-12,Lettuce,3.4
2025-02-12,Beef Steak,1.2
2025-02-12,Eggs,48.0
2025-02-12,Onions,1.6
2025-02-13,Rice (Bomba),59.994
2025-02-13,Seafood Mix,103.4
2025-02-13,Olive Oil,25.15
2025-02-13,Wine Bottle (Red),18.6
2025-02-13,Sangria Mix,106.0
2025-02-13,Coffee Beans,1.4847
2025-02-13,Beer Keg (30L),41.4
2025-02-13,Chicken,8.08
2025-02-13,Potatoes,21.513
2025-02-13,Lettuce,2.0
2025-02-13,Eggs,90.0
2025-02-13,Onions,3.0
2025-02-13,Beef Steak,0.6
2025-02-14,Sangria Mix,119.0
2025-02-14,Beer Keg (30L),42.3
2025-02-14,Wine Bottle (Red),18.15
2025-02-14,Coffee Beans,2.0907
2025-02-14,Rice (Bomba),64.842
2025-02-14,Seafood Mix,114.8
2025-02-14,Olive Oil,27.7
2025-02-14,Potatoes,21.311
2025-02-14,Chicken,10.706
2025-02-14,Lettuce,3.4
2025-02-14,Beef Steak,2.4
2025-02-14,Eggs,57.0
2025-02-14,Onions,1.9
2025-02-15,Beer Keg (30L),18.6
2025-02-15,Sangria Mix,47.0
2025-02-15,Wine Bottle (Red),9.75
2025-02-15,Rice (Bomba),36.966
2025-02-15,Seafood Mix,63.6
2025-02-15,Olive Oil,14.75
2025-02-15,Coffee Beans,0.9545
2025-02-15,Chicken,3.535
2025-02-15,Potatoes,8.484
2025-02-15,Eggs,39.0
2025-02-15,Onions,1.3
2025-02-15,Lettuce,0.9
2025-02-16,Rice (Bomba),62.721
2025-02-16,Seafood Mix,109.3
2025-02-16,Olive Oil,26.45
2025-02-16,Coffee Beans,1.3938
2025-02-16,Sangria Mix,122.0
2025-02-16,Beer Keg (30L),45.9
2025-02-16,Wine Bottle (Red),16.5
2025-02-16,Chicken,7.777
2025-02-16,Potatoes,20.806
2025-02-16,Lettuce,2.3
2025-02-16,Eggs,81.0
2025-02-16,Onions,2.7
2025-02-16,Beef Steak,1.8
2025-02-17,Sangria Mix,103.0
2025-02-17,Coffee Beans,1.6513
2025-02-17,Rice (Bomba),65.9025
2025-02-17,Seafood Mix,111.35
2025-02-17,Olive Oil,24.45
2025-02-17,Beer Keg (30L),43.5
2025-02-17,Wine Bottle (Red),16.95
2025-02-17,Chicken,8.383
2025-02-17,Potatoes,12.726
2025-02-17,Lettuce,2.1
2025-02-17,Eggs,42.0
2025-02-17,Onions,1.4
2025-02-17,Beef Steak,0.6
2025-02-18,Coffee Beans,0.9848
2025-02-18,Wine Bottle (Red),9.75
2025-02-18,Rice (Bomba),33.7845
2025-02-18,Seafood Mix,58.35
2025-02-18,Olive Oil,13.7
2025-02-18,Sangria Mix,55.0
2025-02-18,Beer Keg (30L),21.6
2025-02-18,Chicken,6.06
2025-02-18,Potatoes,10.706
2025-02-18,Lettuce,1.6
2025-02-18,Eggs,27.0
2025-02-18,Onions,0.9
2025-02-18,Beef Steak,0.3
2025-02-19,Rice (Bomba),52.2675
2025-02-19,Seafood Mix,90.25
2025-02-19,Olive Oil,20.75
2025-02-19,Sangria Mix,95.0
2025-02-19,Wine Bottle (Red),15.75
2025-02-19,Beer Keg (30L),33.9
2025-02-19,Coffee Beans,1.4544
2025-02-19,Chicken,6.06
2025-02-19,Potatoes,12.12
2025-02-19,Lettuce,2.0
2025-02-19,Eggs,36.0
2025-02-19,Onions,1.2
2025-02-19,Beef Steak,0.3
2025-02-20,Wine Bottle (Red),10.65
2025-02-20,Rice (Bomba),43.935
2025-02-20,Seafood Mix,75.3
2025-02-20,Olive Oil,16.8
2025-02-20,Coffee Beans,1.0151
2025-02-20,Beer Keg (30L),23.1
2025-02-20,Sangria Mix,62.0
2025-02-20,Chicken,4.141
2025-02-20,Potatoes,6.969
2025-02-20,Lettuce,1.1
2025-02-20,Eggs,33.0
2025-02-20,Onions,1.1
2025-02-21,Rice (Bomba),60.1455
2025-02-21,Seafood Mix,103.25
2025-02-21,Olive Oil,24.35
2025-02-21,Sangria Mix,94.0
2025-02-21,Beer Keg (30L),47.4
2025-02-21,Wine Bottle (Red),19.65
2025-02-21,Coffee Beans,1.5907
2025-02-21,Chicken,6.464
2025-02-21,Potatoes,17.069
2025-02-21,Lettuce,1.6
2025-02-21,Eggs,87.0
2025-02-21,Onions,2.9
2025-02-21,Beef Steak,1.2
2025-02-22,Rice (Bomba),62.8725
2025-02-22,Seafood Mix,107.95
2025-02-22,Olive Oil,24.65
2025-02-22,Sangria Mix,94.0
2025-02-22,Coffee Beans,1.5756
2025-02-22,Beer Keg (30L),35.4
2025-02-22,Wine Bottle (Red),18.45
2025-02-22,Chicken,6.262
2025-02-22,Potatoes,13.433
2025-02-22,Lettuce,1.8
2025-02-22,Eggs,57.0
2025-02-22,Onions,1.9
2025-02-22,Beef Steak,0.6
2025-02-23,Sangria Mix,112.0
2025-02-23,Beer Keg (30L),34.8
2025-02-23,Wine Bottle (Red),15.45
2025-02-23,Rice (Bomba),59.8425
2025-02-23,Seafood Mix,101.35
2025-02-23,Olive Oil,23.05
2025-02-23,Coffee Beans,1.5604
2025-02-23,Chicken,6.969
2025-02-23,Potatoes,15.352
2025-02-23,Lettuce,2.3
2025-02-23,Eggs,54.0
2025-02-23,Onions,1.8
2025-02-23,Beef Steak,0.6
2025-02-24,Rice (Bomba),62.115
2025-02-24,Seafood Mix,106.7
2025-02-24,Olive Oil,23.9
2025-02-24,Beer Keg (30L),35.1
2025-02-24,Sangria Mix,94.0
2025-02-24,Wine Bottle (Red),14.1
2025-02-24,Coffee Beans,1.6968
2025-02-24,Beef Steak,0.9
2025-02-24,Potatoes,13.433
2025-02-24,Chicken,9.797
2025-02-24,Lettuce,2.7
2025-02-24,Eggs,39.0
2025-02-24,Onions,1.3
2025-02-25,Beer Keg (30L),37.8
2025-02-25,Sangria Mix,126.0
2025-02-25,Rice (Bomba),64.6905
2025-02-25,Seafood Mix,110.35
2025-02-25,Olive Oil,25.5
2025-02-25,Coffee Beans,1.4544
2025-02-25,Wine Bottle (Red),16.35
2025-02-25,Chicken,7.272
2025-02-25,Potatoes,16.261
2025-02-25,Lettuce,2.0
2025-02-25,Eggs,78.0
2025-02-25,Onions,2.6
2025-02-26,Wine Bottle (Red),14.85
2025-02-26,Coffee Beans,1.3483
2025-02-26,Beer Keg (30L),32.4
2025-02-26,Rice (Bomba),52.722
2025-02-26,Seafood Mix,90.0
2025-02-26,Olive Oil,21.0
2025-02-26,Sangria Mix,86.0
2025-02-26,Chicken,9.595
2025-02-26,Potatoes,17.675
2025-02-26,Lettuce,2.5
2025-02-26,Eggs,45.0
2025-02-26,Onions,1.5
2025-02-26,Beef Steak,0.6
2025-02-27,Coffee Beans,1.6968
2025-02-27,Sangria Mix,130.0
2025-02-27,Rice (Bomba),65.2965
2025-02-27,Seafood Mix,110.95
2025-02-27,Olive Oil,24.7
2025-02-27,Wine Bottle (Red),19.65
2025-02-27,Beer Keg (30L),41.1
2025-02-27,Chicken,10.201
2025-02-27,Potatoes,14.948
2025-02-27,Lettuce,3.1
2025-02-27,Eggs,45.0
2025-02-27,Onions,1.5
2025-02-27,Beef Steak,0.6
2025-02-28,Sangria Mix,113.0
2025-02-28,Coffee Beans,1.8483
2025-02-28,Rice (Bomba),70.902
2025-02-28,Seafood Mix,122.8
2025-02-28,Olive Oil,29.4
2025-02-28,Wine Bottle (Red),13.8
2025-02-28,Beer Keg (30L),45.0
2025-02-28,Chicken,8.787
2025-02-28,Potatoes,21.311
2025-02-28,Lettuce,2.5
2025-02-28,Eggs,99.0
2025-02-28,Onions,3.3
2025-02-28,Beef Steak,0.3
2025-03-01,Rice (Bomba),54.6915
